job_title,job_url,company,location,skills,job_description,category
"Principal Product Manager - Growth, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Spain,"AI, Data Science, NumPy, Pandas, Python, SQL","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",Software Development
"Principal Product Manager - Growth, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Estonia,"AI, Data Science, NumPy, Pandas, Python, SQL","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",Software Development
"Principal Product Manager - Growth, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Ireland,"AI, Data Science, NumPy, Pandas, Python, SQL","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",Software Development
"Principal Product Manager - Growth, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Canada,"AI, Data Science, NumPy, Pandas, Python, SQL","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",Software Development
"Principal Product Manager - Growth, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",United States,"AI, Data Science, NumPy, Pandas, Python, SQL","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",Software Development
Technical Writer,https://www.karkidi.comN/A,Voxel51,"Ann Arbor, MI, USA","Computer Vision, Git, Machine Learning, NumPy, PyTorch, Python, TensorFlow","Aartificial intelligence,Computer Vision (CV),Github,Machine learning techniques,NumPy,Python Programming,PyTorch,TensorFlow",Software Development
Staff Software Engineer (Frontend),https://www.karkidi.comN/A,Voxel51,"Ann Arbor, MI, USA","Machine Learning, Python, React","Machine learning techniques,Python Programming,React.js,TypeScript",Software Development
Principal Software Engineer,https://www.karkidi.comN/A,Voxel51,"Ann Arbor, MI, USA","MongoDB, NoSQL, Python, React, SQL","Aartificial intelligence,Elasticsearch,MongoDB,NoSQL,Python Programming,React.js,SDK",Software Development
Machine Learning Engineer,https://www.karkidi.comN/A,Voxel51,"Ann Arbor, MI, USA","Git, Machine Learning, MongoDB, NoSQL, NumPy, PyTorch, SQL","Aartificial intelligence,Github,Machine learning techniques,MongoDB,NoSQL,NumPy,PyTorch,UX design",Software Development
"Machine Learning Engineer, Customer Success",https://www.karkidi.comN/A,Voxel51,"Ann Arbor, MI, USA","Computer Vision, Machine Learning, PyTorch, Python, SQL","Computer Vision (CV),Machine learning techniques,Python Programming,PyTorch,Scala Programming,SQL",Software Development
"Junior Engineer, Architecture & SDK",https://www.karkidi.comN/A,MemryX Inc.,"Riyadh, Saudi Arabia","C++, Machine Learning, PyTorch, Python, TensorFlow","C++,Effective communication skills,Machine learning techniques,Python Programming,PyTorch,SDK,TensorFlow",Software Development
"Software Engineer, Applications & Customer Solutions",https://www.karkidi.comN/A,MemryX Inc.,"Ann Arbor, MI, USA","C++, Git, Linux, PyTorch, Python, TensorFlow","Aartificial intelligence,C++,Git,Linux Operating system,Python Programming,PyTorch,SDK,TensorFlow",Software Development
"Senior Technical Product Manager, Platform",https://www.karkidi.comN/A,Ava Labs,"New York, NY, USA",,"Aartificial intelligence,Analytical and Problem solving,Effective communication skills,Product Management,UI design,UX design",Data Science & Analytics
"Software Engineer II, AI/ML, Cloud AI Infrastructure",https://www.karkidi.comN/A,Google,"Taipei, Taiwan","C++, GCP, Machine Learning, Python","Aartificial intelligence,C Programming,C++,Google Cloud Platform (GCP),GPUs,Infrastructure as code,Large Language Models - LLMs,Machine learning techniques,Optimization,Python Programming",Software Development
Machine Learning Physical Design Engineer,https://www.karkidi.comN/A,Google,"Bengaluru, Karnataka, India",Machine Learning,"Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",Software Development
"Senior Data Scientist, Research, Chrome",https://www.karkidi.comN/A,Google,"Waterloo, ON, Canada","Data Science, Python, SQL","Data science techniques,Effective communication skills,Leadership Skill,Planning and organization,Python Programming,R Programming,SQL",Software Development
"Data Science Manager, gTech Ads Solutions",https://www.karkidi.comN/A,Google,"Warsaw, Poland","Data Science, Python, SQL","Data science techniques,Effective communication skills,Leadership Skill,Planning and organization,Python Programming,R Programming,SQL",Software Development
"Software Engineer II, Vertex AI Search Platform",https://www.karkidi.comN/A,Google,"Warsaw, Poland","C++, Java, JavaScript, Machine Learning, Python","Aartificial intelligence,C Programming,C++,Effective communication skills,Java Programming,JavaScript,Machine learning techniques,Python Programming,Software Development,Writing",Software Development
"Senior Software Engineer, Machine Learning, Cloud AI",https://www.karkidi.comN/A,Google,"Warsaw, Poland","C++, Machine Learning, Python","Aartificial intelligence,C++,Large Language Models - LLMs,Leadership Skill,Machine learning techniques,Python Programming",Software Development
"Financial Analyst, Supply Chain and Silicon Finance",https://www.karkidi.comN/A,Google,"Mountain View, CA, USA","AI, Machine Learning, SQL","Aartificial intelligence,Finance,Machine learning techniques,SAP,SQL,Supply Chain Management",Data Science & Analytics
"Senior Software Engineer, Machine Learning, Privacy Sandbox",https://www.karkidi.comN/A,Google,"New York, NY, USA",Machine Learning,"Algorithms,Data structuring,Design,Machine learning techniques",Software Development
"Senior Software Engineer, Geo, AI/ML",https://www.karkidi.comN/A,Google,"Mountain View, CA, USA",Machine Learning,"Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques,Software Development",Software Development
"Research Data Scientist, Cloud Security",https://www.karkidi.comN/A,Google,"San Francisco, CA, USA; Sunnyvale, CA, USA","Data Science, Machine Learning, Python, SQL","Aartificial intelligence,Data science techniques,Design,Machine learning techniques,Python Programming,R Programming,SQL",Software Development
"Technical Program Manager II, NPI Deployment Planning, Technical Infrastructure",https://www.karkidi.comN/A,Google,"Atlanta, GA, USA",Machine Learning,"Infrastructure as code,Machine learning techniques,Program Management",Data Science & Analytics
"Staff Software Engineer, Core Data ML Infrastructure",https://www.karkidi.comN/A,Google,"Sunnyvale, CA, USA","AI, C++, Machine Learning, SQL","C++,Generative AI,Infrastructure as code,Large Language Models - LLMs,Machine learning techniques,Software Development,SQL",Software Development
ML Data Scientist Intern (Seattle),https://www.karkidi.comN/A,GeoComply,"Seattle, WA, USA","Data Science, Excel, Machine Learning, NumPy, Pandas, Python, SQL","Data science techniques,Google sheets,Machine learning techniques,Microsoft Office suites,Microsoft-Excel,NumPy,Pandas,Powerpoint,Python Programming,SaaS,SQL",Software Development
ML Data Scientist Intern (Seattle),https://www.karkidi.comN/A,GeoComply,"Vancouver, BC, Canada","Data Science, Excel, Machine Learning, NumPy, Pandas, Python, SQL","Data science techniques,Google sheets,Machine learning techniques,Microsoft Office suites,Microsoft-Excel,NumPy,Pandas,Powerpoint,Python Programming,SaaS,SQL",Software Development
ML Data Scientist Intern (Toronto),https://www.karkidi.comN/A,GeoComply,"Toronto, ON, Canada","Data Science, Excel, Machine Learning, NumPy, Pandas, Python, SQL","Data science techniques,Google sheets,Machine learning techniques,Microsoft Office suites,Microsoft-Excel,NumPy,Pandas,Powerpoint,Python Programming,SQL",Software Development
Senior Data Scientist (Anti-spoofing ML),https://www.karkidi.comN/A,GeoComply,"Ho Chi Minh, Vietnam","Data Science, Deep Learning, Machine Learning, NumPy, Pandas, PyTorch, Scikit-learn, TensorFlow","Data science techniques,Databricks,Deep Learning,Leadership Skill,Machine learning techniques,NumPy,Pandas,PyTorch,Scikit-learn,TensorFlow",Data Science & Analytics
Machine Learning Engineer (Anti-spoofing ML),https://www.karkidi.comN/A,GeoComply,"Ho Chi Minh, Vietnam","Docker, GCP, Java, Kubernetes, Machine Learning, PyTorch, Scikit-learn, Spark, TensorFlow","Aartificial intelligence,Docker,GoLang,Google Cloud Platform (GCP),Java Programming,Kubernetes-K8s,Machine learning techniques,MLOps tools,OLAP,PyTorch,Scikit-learn,SparkML,TensorFlow",Software Development
"Senior Business Development Manager, AI & Legal Content",https://www.karkidi.comN/A,Thomson Reuters Corporation,"Melbourne, Australia",,"Aartificial intelligence,Business Development,People management",Data Science & Analytics
"Project Manager, Fund Operations",https://www.karkidi.comN/A,Manulife Financial Corporation,"Boston, MA, USA","Machine Learning, Project Management","Aartificial intelligence,Business Analytics,IT,Machine learning techniques,Operations,Project management",Data Science & Analytics
"Project Manager, Fund Operations",https://www.karkidi.comN/A,Manulife Financial Corporation,"Montreal, QC, Canada; Toronto, ON, Canada; Waterloo, ON, Canada","Machine Learning, Project Management","Aartificial intelligence,Business Analytics,IT,Machine learning techniques,Operations,Project management",Data Science & Analytics
Data Analytics Lead,https://www.karkidi.comN/A,Manulife Financial Corporation,"Montreal, QC, Canada; Toronto, ON, Canada; Waterloo, ON, Canada","AWS, Azure, Data Science, GCP, Python, SQL, Tableau","AWS,Azure,Data Analytics,Data science techniques,Effective communication skills,Finance,Google Cloud Platform (GCP),Leadership Skill,PowerBI,Python Programming,R Programming,SQL,Tableau",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)1",https://www.karkidi.comN/A,"Quora, Inc.",Switzerland,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Poland,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Serbia,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Denmark,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
